station.id,station.name,latitude,longitude,boroname
127,Barrow St & Hudson St,40.73172428,-74.00674436,Manhattan
127,Barrow St & Hudson St,40.73172428,-74.00674436,Manhattan
127,Barrow St & Hudson St,40.73172428,-74.00674436,Manhattan
127,Barrow St & Hudson St,40.73172428,-74.00674436,Manhattan
504,1 Ave & E 15 St,40.73221853,-73.98165557,Manhattan
504,1 Ave & E 15 St,40.73221853,-73.98165557,Manhattan
504,1 Ave & E 15 St,40.73221853,-73.98165557,Manhattan
504,1 Ave & E 15 St,40.73222,-73.98166,Manhattan
483,E 12 St & 3 Ave,40.73223272,-73.98889957,Manhattan
483,E 12 St & 3 Ave,40.73223272,-73.98889957,Manhattan
483,E 12 St & 3 Ave,40.73223272,-73.98889957,Manhattan
483,E 12 St & 3 Ave,40.73223272,-73.98889957,Manhattan
3115,India St & Manhattan Ave,40.73232194,-73.9550858,Manhattan
357,E 11 St & Broadway,40.73261787,-73.99158043,Manhattan
357,E 11 St & Broadway,40.73261787,-73.99158043,Manhattan
357,E 11 St & Broadway,40.73261787,-73.99158043,Manhattan
358,Christopher St & Greenwich St,40.73291553,-74.00711384,Manhattan
487,E 20 St & FDR Drive,40.73314259,-73.97573881,Manhattan
380,W 4 St & 7 Ave S,40.73401143,-74.00293877,Manhattan
380,W 4 St & 7 Ave S,40.73401143,-74.00293877,Manhattan
285,Broadway & E 14 St,40.73454567,-73.99074142,Manhattan
382,University Pl & E 14 St,40.73492695,-73.99200509,Manhattan
382,University Pl & E 14 St,40.73492695,-73.99200509,Manhattan
382,University Pl & E 14 St,40.73492695,-73.99200509,Manhattan
383,Greenwich Ave & Charles St,40.735238,-74.000271,Manhattan
247,Perry St & Bleecker St,40.73535398,-74.00483091,Manhattan
325,E 19 St & 3 Ave,40.73624527,-73.98473765,Manhattan
345,W 13 St & 6 Ave,40.73649403,-73.99704374,Manhattan
345,W 13 St & 6 Ave,40.73649403,-73.99704374,Manhattan
345,W 13 St & 6 Ave,40.73649403,-73.99704374,Manhattan
497,E 17 St & Broadway,40.73704984,-73.99009296,Manhattan
497,E 17 St & Broadway,40.73704984,-73.99009296,Manhattan
497,E 17 St & Broadway,40.73704984,-73.99009296,Manhattan
497,E 17 St & Broadway,40.73704984,-73.99009296,Manhattan
496,E 16 St & 5 Ave,40.73726186,-73.99238967,Manhattan
284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,Manhattan
284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,Manhattan
507,E 25 St & 2 Ave,40.73912601,-73.97973776,Manhattan
507,E 25 St & 2 Ave,40.73912601,-73.97973776,Manhattan
507,E 25 St & 2 Ave,40.73912601,-73.97973776,Manhattan
405,Washington St & Gansevoort St,40.739323,-74.008119,Manhattan
405,Washington St & Gansevoort St,40.739323,-74.008119,Manhattan
405,Washington St & Gansevoort St,40.739323,-74.008119,Manhattan
482,W 15 St & 7 Ave,40.73935542,-73.99931783,Manhattan
482,W 15 St & 7 Ave,40.73935542,-73.99931783,Manhattan
2012,E 27 St & 1 Ave,40.739445,-73.976806,Manhattan
168,W 18 St & 6 Ave,40.73971301,-73.99456405,Manhattan
168,W 18 St & 6 Ave,40.73971301,-73.99456405,Manhattan
402,Broadway & E 22 St,40.7403432,-73.98955109,Manhattan
404,9 Ave & W 14 St,40.7405826,-74.00550867,Manhattan
404,9 Ave & W 14 St,40.7405826,-74.00550867,Manhattan
404,9 Ave & W 14 St,40.7405826,-74.00550867,Manhattan
491,E 24 St & Park Ave S,40.74096374,-73.98602213,Manhattan
540,Lexington Ave & E 26 St,40.74147286,-73.98320928,Manhattan
540,Lexington Ave & E 26 St,40.74147286,-73.98320928,Manhattan
3120,Center Blvd & Borden Ave,40.74161,-73.96044,Manhattan
435,W 21 St & 6 Ave,40.74173969,-73.99415556,Manhattan
116,W 17 St & 8 Ave,40.74177603,-74.00149746,Manhattan
225,W 14 St & The High Line,40.74195138,-74.00803013,Manhattan
225,W 14 St & The High Line,40.74195138,-74.00803013,Manhattan
225,W 14 St & The High Line,40.74195138,-74.00803013,Manhattan
463,9 Ave & W 16 St,40.74207,-74.00443,Manhattan
3119,Vernon Blvd & 50 Ave,40.74232744,-73.95411749,Manhattan
444,Broadway & W 24 St,40.74235,-73.98915,Manhattan
444,Broadway & W 24 St,40.7423543,-73.98915076,Manhattan
444,Broadway & W 24 St,40.7423543,-73.98915076,Manhattan
334,W 20 St & 7 Ave,40.74238787,-73.99726235,Manhattan
334,W 20 St & 7 Ave,40.74238787,-73.99726235,Manhattan
334,W 20 St & 7 Ave,40.74238787,-73.99726235,Manhattan
334,W 20 St & 7 Ave,40.74238787,-73.99726235,Manhattan
528,2 Ave & E 31 St,40.74290902,-73.97706058,Manhattan
528,2 Ave & E 31 St,40.74290902,-73.97706058,Manhattan
528,2 Ave & E 31 St,40.74290902,-73.97706058,Manhattan
528,2 Ave & E 31 St,40.74290902,-73.97706058,Manhattan
528,2 Ave & E 31 St,40.74290902,-73.97706058,Manhattan
434,9 Ave & W 18 St,40.74317449,-74.00366443,Manhattan
470,W 20 St & 8 Ave,40.74345335,-74.00004031,Manhattan
470,W 20 St & 8 Ave,40.74345335,-74.00004031,Manhattan
